Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,1400.00,1400.00,0.00,37170.00,26.55,620.00,23045400.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,42.00,42.00,0.00,743.40,17.70,3862.86,2871650.12
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,10.00,10.00,0.00,305.20,30.52,619.50,189071.40
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9090000,Triticale forrajero en verde,200.00,200.00,0.00,5080.00,25.40,540.00,2743200.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,410.00,410.00,0.00,16400.00,40.00,515.00,8446000.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,150.00,150.00,0.00,4275.00,28.50,621.33,2656185.75
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,50.00,50.00,0.00,762.50,15.25,4006.00,3054575.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,9.38,9.38,0.00,541.05,57.68,13714.92,7420459.44
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6820000,Fresa,5.00,5.00,0.00,225.00,45.00,17650.01,3971252.25
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,3950.00,3950.00,0.00,246875.00,62.50,757.96,187121375.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,610.00,610.00,0.00,3934.50,6.45,4569.50,17978697.75
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,110.00,110.00,0.00,5940.00,54.00,675.00,4009500.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),50.20,50.20,0.00,5630.01,112.15,20602.77,115993827.74
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8980000,Tomate verde,30.00,30.00,0.00,495.00,16.50,4314.00,2135430.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,9090000,Triticale forrajero en verde,30.00,30.00,0.00,959.10,31.97,550.00,527505.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,9270000,Zanahoria,25.00,25.00,0.00,671.25,26.85,3103.00,2082888.75
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5490000,Avena forrajera en verde,13.00,3.00,10.00,21.63,7.21,655.00,14167.65
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,6.00,1.00,5.00,0.39,0.39,9310.00,3630.90
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,6850.00,20.00,6830.00,184.40,9.22,720.00,132768.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,610.00,4.00,606.00,2.12,0.53,9000.00,19080.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,70.00,70.00,0.00,698.60,9.98,751.15,524753.39
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5170000,Alfalfa verde,1200.00,1200.00,0.00,112200.00,93.50,763.62,85678164.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,12.00,12.00,0.00,183.00,15.25,15252.92,2791284.36
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7010000,Granada,1.00,1.00,0.00,6.75,6.75,3815.00,25751.25
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7690000,Membrillo,3.00,3.00,0.00,15.00,5.00,5355.00,80325.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7920000,Nopalitos,22.00,22.00,0.00,814.00,37.00,2634.21,2144246.94
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,146.70,76.70,0.00,168.74,2.20,36500.00,6159010.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,53.00,45.00,0.00,505.40,11.23,10961.89,5540137.84
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,15050000,Pastos y praderas,200.00,200.00,0.00,3900.00,19.50,636.00,2480400.00
2023,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Perennes,2,Temporal,200201,Tonelada,5050000,Agave,8.00,0.00,0.00,0.00,0.00,0.00,0.00
