Anio,Nomcultivo,Volumenproduccion,Rendimiento,Preciomediorural
2018,Espinaca,396.0,18.0,5479.1
2018,Lechuga,635.4,13.07,7425.3
2018,Apio,38.25,38.25,7028.42
2018,Espinaca,446.4,16.0,5808.25
2018,Lechuga,803.97,13.03,7159.26
2018,Rábano,29.0,14.5,6827.5
2018,Rábano,92.0,15.33,6674.22
2019,Espinaca,204.0,8.5,5663.98
2019,Lechuga,649.34,13.25,7402.6
2019,Apio,38.0,38.0,5970.32
2019,Espinaca,415.0,14.93,5355.58
2019,Lechuga,819.0,10.85,7073.73
2019,Rábano,37.0,18.5,6117.43
2019,Rábano,93.5,15.58,7044.45
2020,Lechuga,520.0,11.56,7292.88
2020,Lechuga,800.0,11.11,7162.5
2021,Lechuga,505.05,12.95,6259.01
2021,Lechuga,739.86,12.98,7249.19
2022,Espinaca,160,8.0,5700.0
2022,Lechuga,600,12.77,7383.16
2022,Espinaca,454,15.66,5739.55
2022,Lechuga,742,12.37,6999.34
2022,Rábano,28.1,18.73,7666.67
2022,Rábano,72,18.0,7529.69
2023,Espinaca,208.0,13.0,5621.52
2023,Lechuga,499.98,12.82,7362.53
2023,Espinaca,420.0,15.0,5921.67
2023,Lechuga,711.3,11.86,7262.16
2023,Rábano,20.0,20.0,7683.0
2023,Rábano,68.4,17.1,7150.0
2024,Espinaca,90.0,7.5,7557.78
2024,Lechuga,519.34,11.29,8663.68
2024,Espinaca,54.0,6.75,6000.0
2024,Espinaca,275.0,11.0,7346.82
2024,Lechuga,261.0,9.0,8826.05
2024,Lechuga,300.0,12.0,8698.92
2024,Rábano,18.0,18.0,8933.33
2024,Rábano,60.0,15.0,8630.0
